,team1,year,date,time,local_time,home_away,team2,Week,Game_Number,day,win1?,OT,penalty_yards1,penalty_yards2
39,ARI,2019,2019-09-15,1:00,1:00,@,BAL,2,2,Sun,L 17-23,,70,62
40,DEN,2019,2019-09-15,4:25,2:25,,CHI,2,2,Sun,L 14-16,,81,65
42,DET,2019,2019-09-15,1:00,1:00,,LAC,2,2,Sun,W 13-10,,71,70
43,JAX,2019,2019-09-15,1:00,12:00,@,HOU,2,2,Sun,L 12-13,,70,47
44,MIA,2019,2019-09-15,1:00,1:00,,NWE,2,2,Sun,L 0-43,,22,54
45,MIN,2019,2019-09-15,1:00,12:00,@,GNB,2,2,Sun,L 16-21,,100,35
46,NOR,2019,2019-09-15,4:25,1:25,@,LAR,2,2,Sun,L 9-27,,87,65
47,NYG,2019,2019-09-15,1:00,1:00,,BUF,2,2,Sun,L 14-28,,40,65
48,OAK,2019,2019-09-15,4:05,1:05,,KAN,2,2,Sun,L 10-28,,52,114
49,SEA,2019,2019-09-15,1:00,1:00,@,PIT,2,2,Sun,W 28-26,,93,78
50,SFO,2019,2019-09-15,1:00,1:00,@,CIN,2,2,Sun,W 41-17,,75,60
51,WAS,2019,2019-09-15,1:00,1:00,,DAL,2,2,Sun,L 21-31,,44,67
52,TAM,2019,2019-09-12,8:20,8:20,@,CAR,2,2,Thu,W 20-14,,66,50
53,HOU,2019,2019-09-09,7:10,6:10,@,NOR,1,1,Mon,L 28-30,,69,48
54,OAK,2019,2019-09-09,10:20,7:20,,DEN,1,1,Mon,W 24-16,,62,44
55,ATL,2019,2019-09-08,1:00,3:00,@,MIN,1,1,Sun,L 12-28,,78,100
56,BUF,2019,2019-09-08,1:00,1:00,@,NYJ,1,1,Sun,W 17-16,,55,67
57,CAR,2019,2019-09-08,1:00,1:00,,LAR,1,1,Sun,L 27-30,,46,43
58,CIN,2019,2019-09-08,4:05,1:05,@,SEA,1,1,Sun,L 20-21,,57,55
59,IND,2019,2019-09-08,4:05,1:05,@,LAC,1,1,Sun,L 24-30,OT,10,20
60,ARI,2019,2019-09-08,4:25,2:25,,DET,1,1,Sun,T 27-27,OT,35,59
61,JAX,2019,2019-09-08,1:00,1:00,,KAN,1,1,Sun,L 26-40,,71,55
63,MIA,2019,2019-09-08,1:00,1:00,,BAL,1,1,Sun,L 10-59,,64,40
64,NYG,2019,2019-09-08,4:25,3:25,@,DAL,1,1,Sun,L 17-35,,70,47
65,TEN,2019,2019-09-08,1:00,1:00,@,CLE,1,1,Sun,W 43-13,,54,182
66,PIT,2019,2019-09-08,8:20,8:20,@,NWE,1,1,Sun,L 3-33,,54,55
67,SFO,2019,2019-09-08,4:25,4:25,@,TAM,1,1,Sun,W 31-17,,87,87
68,WAS,2019,2019-09-08,1:00,1:00,@,PHI,1,1,Sun,L 27-32,,96,55
69,GNB,2019,2019-09-05,8:20,7:20,@,CHI,1,1,Thu,W 10-3,,71,107
