,Unnamed: 0,Unnamed: 0.1,team,opponent,week,home,away,points_for,points_against,over_under,yards_per_play_offense,yards_allowed_per_defensive_play,total_yards,total_yards_allowed,turnovers_lost,sacks,times_sacked,win?,loss?,covered_spread?,opponent_covered_spread?,game_id,total_wins,total_losses,spread,opponent_spread,favorite,underdog,rushing_attempts,rushing_yards,rushing_yards_per_attempt,time_of_possession,penalty_yards,passing_yards_per_attempt,FGA,FGM
53,56,53,PATRIOTS,DOLPHINS,2,0,1,43,0,48.5,5.830769230769231,3.01639344262295,379,184,1,7,2,1,0,1,0,242,2,0,-18.0,18.0,1,0,35.0,124.0,3.54,0.6083333333333333,54.0,9.107142857142858,2.0,1.0
54,57,54,GIANTS,BILLS,2,1,0,14,28,44.5,5.6061,5.791,370,388,2,3,1,0,1,0,1,245,0,2,2.0,-2.0,0,1,20.0,129.0,6.45,0.4561111111111111,40.0,5.355555555555554,1.0,0.0
55,58,55,JETS,BROWNS,2,1,0,3,23,45.5,4.4407,6.3559,262,375,1,3,4,0,1,0,1,235,0,2,6.5,-6.5,0,1,24.0,93.0,3.88,0.5052777777777778,89.0,5.451612903225807,1.0,1.0
56,59,56,RAIDERS,CHIEFS,2,1,0,10,28,53.5,5.1167,6.8676,307,467,2,2,3,0,1,0,1,246,1,1,7.0,-7.0,0,1,19.0,129.0,6.79,0.4569444444444444,52.0,4.684210526315789,1.0,1.0
57,60,57,EAGLES,FALCONS,2,0,1,20,24,53.0,3.97222222222222,6.01639344262295,286,367,3,1,3,0,1,0,1,236,1,1,-1.0,1.0,1,0,21.0,49.0,2.33,0.5483333333333333,60.0,4.9375,2.0,2.0
58,61,58,STEELERS,SEAHAWKS,2,1,0,26,28,47.0,5.11764705882353,5.90277777777778,261,425,1,4,1,0,1,0,1,247,0,2,-4.0,4.0,1,0,16.0,81.0,5.06,0.4038888888888889,78.0,5.294117647058823,2.0,2.0
59,62,59,SEAHAWKS,STEELERS,2,0,1,28,26,47.0,5.9028,5.1176,425,261,2,1,4,1,0,1,0,247,2,0,4.0,-4.0,0,1,33.0,151.0,4.58,0.5961111111111111,93.0,7.828571428571428,1.0,0.0
60,63,60,49ERS,BENGALS,2,0,1,41,17,46.0,8.3971,4.8615,571,316,1,4,0,1,0,1,0,248,2,0,-1.0,1.0,1,0,42.0,259.0,6.17,0.5386111111111112,75.0,12.0,3.0,2.0
61,64,61,BUCCANEERS,PANTHERS,2,0,1,20,14,48.0,4.8983,4.8219,289,352,0,3,3,1,0,1,0,250,1,1,6.5,-6.5,0,1,31.0,100.0,3.23,0.5647222222222222,66.0,7.56,3.0,2.0
62,66,62,TITANS,COLTS,2,1,0,17,19,43.5,4.33928571428571,4.430769230769231,243,288,0,3,4,0,1,0,1,237,1,1,-3.0,3.0,1,0,24.0,124.0,5.17,0.4683333333333333,75.0,4.25,2.0,1.0
63,67,63,REDSKINS,COWBOYS,2,1,0,21,31,46.5,4.6364,7.2923,255,474,0,1,1,0,1,0,1,249,0,2,6.0,-6.0,0,1,17.0,47.0,2.76,0.4438888888888889,44.0,5.621621621621622,0.0,0.0
64,68,64,CARDINALS,PANTHERS,3,1,0,20,38,46.0,3.3972602739726,7.0,248,413,2,2,8,0,1,0,1,221,0,2,-2.5,2.5,1,0,22.0,121.0,5.5,0.528888888888889,52.0,2.953488372093023,2.0,2.0
65,69,65,FALCONS,COLTS,3,0,1,24,27,48.0,7.3519,6.1129,397,379,1,1,0,0,1,0,1,220,1,2,1.5,-1.5,0,1,20.0,93.0,4.65,0.4769444444444445,128.0,8.941176470588236,1.0,1.0
66,70,66,RAVENS,CHIEFS,3,0,1,28,33,52.0,5.7949,7.9841,452,503,0,1,3,0,1,0,1,233,2,1,5.0,-5.0,0,1,32.0,203.0,6.34,0.5455555555555556,60.0,5.790697674418603,1.0,1.0
67,71,67,BILLS,BENGALS,3,1,0,21,17,43.5,5.6986301369863,5.3684210526315805,416,306,2,2,1,1,0,0,1,222,3,0,-6.5,6.5,1,0,36.0,175.0,4.86,0.615,55.0,6.6944444444444455,3.0,2.0
68,72,68,PANTHERS,CARDINALS,3,0,1,38,20,46.0,7.0,3.3973,413,248,1,8,2,1,0,1,0,221,1,2,2.5,-2.5,0,1,31.0,173.0,5.58,0.4711111111111111,35.0,9.23076923076923,1.0,1.0
69,73,69,BEARS,REDSKINS,3,0,1,31,15,41.0,5.13793103448276,5.23529411764706,298,356,1,4,3,1,0,1,0,219,2,1,-5.0,5.0,1,0,24.0,90.0,3.75,0.5266666666666666,59.0,6.709677419354839,2.0,1.0
70,74,70,BENGALS,BILLS,3,0,1,17,21,43.5,5.3684,5.6986,306,416,4,1,2,0,1,1,0,222,0,3,6.5,-6.5,0,1,19.0,66.0,3.47,0.385,54.0,6.666666666666668,1.0,1.0
71,75,71,BROWNS,RAMS,3,1,0,13,20,48.0,4.2857,5.375,270,344,1,2,3,0,1,0,1,223,1,2,3.5,-3.5,0,1,24.0,95.0,3.96,0.5269444444444445,60.0,4.861111111111111,2.0,2.0
72,76,72,COWBOYS,DOLPHINS,3,1,0,31,6,46.5,7.1044776119403,4.161764705882351,476,283,1,3,1,1,0,1,0,227,3,0,-21.5,21.5,1,0,34.0,235.0,6.91,0.5155555555555555,100.0,7.53125,2.0,1.0
