,rk,team1,year,date,time,local_time,home_away,team2,Week,Game_Number,day,win1?,OT,points_1,points_2,point_differential,combined_points,spread,team1_covered_spread?,over_under,over_under_result?,pass_completions1,pass_attempts1,completion_percentage1,passing_yards1,passing_touchdowns1,interceptions1,times_sacked1,sack_yards_lost1,qbr1,rushing_attempts1,rushing_yards1,rushing_yards_per_attempt1,rushing_touchdowns1,total_yards1,offensive_plays1,yards_per_play_offense1,defensive_plays1,yards_allowed_per_defensive_play1,turnovers_lost1,time_of_possession1,game_duration
71,69,KAN,2019,2019-12-08,4:25,4:25,Away,NWE,14,13,Sun,W 23-16,,23,16,7,39,3.0,covered,49.5,under,26,40,65.0,271,1,1,1,12,82.4,29,75,2.59,1,346,70,4.9429,62,4.4839,2,34:21,3:15
72,70,MIA,2019,2019-12-08,1:00,1:00,Away,NYJ,14,13,Sun,L 21-22,,21,22,-1,43,5.0,covered,47.0,under,21,37,56.8,240,0,1,2,5,65.1,26,122,4.69,0,362,65,5.5692,69,5.4203,1,30:06,3:06
73,71,OAK,2019,2019-12-08,4:25,1:25,Home,TEN,14,13,Sun,L 21-42,,21,42,-21,63,3.0,not covered,47.0,over,25,34,73.5,258,2,0,2,4,114.6,24,97,4.04,1,355,60,5.9167,59,9.3559,1,30:48,2:58
74,72,SEA,2019,2019-12-08,8:20,5:20,Away,LAR,14,13,Sun,L 12-28,,12,28,-16,40,1.0,not covered,47.5,under,22,36,61.1,202,0,1,5,43,64.8,21,106,5.05,0,308,62,4.9677,67,6.7910,1,28:56,3:01
75,73,SFO,2019,2019-12-08,1:00,12:00,Away,NOR,14,13,Sun,W 48-46,,48,46,2,94,1.0,covered,45.0,over,27,36,75.0,354,5,1,3,30,133.6,24,162,6.75,1,516,63,8.1905,68,6.8382,1,28:37,3:23
76,74,WAS,2019,2019-12-08,1:00,12:00,Away,GNB,14,13,Sun,L 15-20,,15,20,-5,35,13.0,covered,42.5,under,16,27,59.3,141,1,1,4,29,70.1,28,121,4.32,1,262,59,4.4407,60,5.6833,1,29:36,2:59
77,75,CHI,2019,2019-12-05,8:20,7:20,Home,DAL,14,13,Thu,W 31-24,,31,24,7,55,3.0,covered,43.0,over,23,31,74.2,231,3,1,2,13,113.8,34,151,4.44,1,382,67,5.7015,73,5.5890,2,32:18,3:14
78,76,MIN,2019,2019-12-02,8:15,5:15,Away,SEA,13,12,Mon,L 30-37,,30,37,-7,67,2.5,not covered,48.0,over,22,38,57.9,276,2,1,0,0,87.2,14,78,5.57,1,354,52,6.8077,76,5.8421,3,20:15,3:13
79,77,CIN,2019,2019-12-01,1:00,1:00,Home,NYJ,13,12,Sun,W 22-6,,22,6,16,28,2.5,covered,43.0,under,22,37,59.5,233,1,0,1,10,86.9,25,44,1.76,1,277,63,4.3968,69,3.9275,,31:41,3:11
80,78,IND,2019,2019-12-01,1:00,1:00,Home,TEN,13,12,Sun,L 17-31,,17,31,-14,48,1.0,not covered,41.5,over,25,40,62.5,309,1,2,3,10,73.9,24,82,3.42,1,391,67,5.8358,58,5.0345,3,32:31,3:07
